Asset #,Serial Number,Vendor,Desktop Model,Location,Details,IP Address,Operating System,Configuration ID,Invoice Date,Warranty Expiry Date,Warranty Expired,PO #,Invoice #,Cost Centre,Purchase Price,Purchasing Approved,Status
US07893,2UA3282PFL,Hewlett-Packard,HP Compaq Pro 6300 SFF,Unassigned,HP Compaq Pro 6300 SFF,10.148.130.145,Microsoft Windows 7 Professional x64,CPL,,,No Warranty,,,,,,
US14559,14DQPD2,Dell Inc.,OptiPlex 7040,Unassigned,Dell OptiPlex 7040 XCTO SFF,10.148.130.150,Microsoft Windows 7 Professional x64,CPL,,2019-07-21 23:59:59,Active,,,,,,
US13670,8ZYHKH2,Dell Inc.,OptiPlex 3040,Unassigned,Dell OptiPlex 3040 XCTO SFF,10.148.130.152,Microsoft Windows 7 Professional x64,CPL,,2020-06-09 23:59:59,Active,,,,,,
US30760,B8SK082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.130.153,Microsoft Windows 7 Professional x64,CPL,,2018-12-28 23:59:59,Active,,,,,,
US30727,B50L082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.130.154,Microsoft Windows 7 Professional x64,CPL,,2018-12-28 23:59:59,Active,,,,,,
US13691,GJTZHK2,Dell Inc.,OptiPlex 3050,Unassigned,Dell OptiPlex 3050,10.148.130.155,Microsoft Windows 7 Professional x64,CPL,,2020-08-17 23:59:59,Active,,,,,,
US30313,B6JH082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.130.157,Microsoft Windows 7 Professional x64,CPL,,2018-12-29 23:59:59,Active,,,,,,
US01776,FYXTL02,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.130.158,Microsoft Windows 7 Professional x64,CPL,,2017-08-25 23:59:59,Expired,,,,,,
US07621,CPZF942,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020 Mini,10.148.130.17,Microsoft Windows 7 Professional x64,CPL,,2018-02-16 23:59:59,Active,,,,,,
US30681,2FHGN52,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.130.207,Microsoft Windows 7 Professional x64,CPL,,2018-12-29 23:59:59,Active,,,,,,
US07610,CNXG942,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020 Mini,10.148.130.21,Microsoft Windows 7 Professional x64,CPL,,2018-02-16 23:59:59,Active,,,,,,
US30680,BDHGN52,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.130.212,Microsoft Windows 7 Professional x64,CPL,,2018-12-29 23:59:59,Active,,,,,,
US01973,J0CV322,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020 SFF,10.148.130.217,Microsoft Windows 7 Professional x64,CPL,,2017-12-31 23:59:59,Active,,,,,,
US30708,2FZF082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.130.236,Microsoft Windows 7 Professional x64,CPL,,2018-12-28 23:59:59,Active,,,,,,
US07620,CPZ9942,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020 Mini,10.148.130.28,Microsoft Windows 7 Professional x64,CPL,,2018-02-16 23:59:59,Active,,,,,,
US07612,CPYH942,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020 Mini,10.148.130.30,Microsoft Windows 7 Professional x64,CPL,,2018-02-16 23:59:59,Active,,,,,,
US30661,CWPH082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.131.108,Microsoft Windows 7 Professional x64,CPL,,2018-12-23 23:59:59,Active,,,,,,
US13692,4XJHJH2,Dell Inc.,OptiPlex 3040,Unassigned,Dell OptiPlex 3040 XCTO SFF,10.148.131.122,Microsoft Windows 7 Professional x64,CPL,,2020-05-24 23:59:59,Active,,,,,,
US30666,CWMF082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.131.142,Microsoft Windows 7 Professional x64,CPL,,2018-12-23 23:59:59,Active,,,,,,
US30669,CWSJ082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.131.143,Microsoft Windows 7 Professional x64,CPL,,2018-12-23 23:59:59,Active,,,,,,
US30662,CWQF082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.131.173,Microsoft Windows 7 Professional x64,CPL,,2018-12-23 23:59:59,Active,,,,,,
US14553,CGBCKB2,Dell Inc.,OptiPlex 7040,Unassigned,Dell OptiPlex 7040 XCTO SFF,10.148.131.203,Microsoft Windows 7 Professional x64,CPL,,2019-07-08 23:59:59,Active,,,,,,
US20255,37GLSD2,Dell Inc.,OptiPlex 3040,Unassigned,Dell OptiPlex 3040 XCTO SFF,10.148.131.204,Microsoft Windows 7 Professional x64,CPL,,2019-10-17 23:59:59,Active,,,,,,
VEG-17796,5BQB9Z1,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.131.51,Microsoft Windows 7 Professional x64,CPL,,2016-11-12 23:59:59,Expired,,,,,,
VEGAS-17807,5BBF9Z1,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.131.53,Microsoft Windows 7 Professional x64,CPL,,2016-11-12 23:59:59,Expired,,,,,,
US07908,2UA02819FL,Hewlett-Packard,HP Compaq 6000 Pro MT PC,Unassigned,HP Compaq 6000 Pro PC MT,10.148.132.109,Microsoft Windows 7 Professional x64,CPL,,,No Warranty,,,,,,
US07909,MXL0210T75,Hewlett-Packard,HP Compaq 6000 Pro SFF PC,Unassigned,HP Compaq 6000 Pro PC SFF,10.148.132.112,Microsoft Windows 7 Professional x64,CPL,,,No Warranty,,,,,,
US01932,HV1XS12,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.132.179,Microsoft Windows 7 Professional x64,CPL,,2017-11-03 23:59:59,Expired,,,,,,
US08089,2UA0290HZ5,Hewlett-Packard,HP Compaq 6000 Pro SFF PC,Unassigned,HP Compaq 6000 Pro PC SFF,10.148.132.184,Microsoft Windows 7 Professional x64,CPL,,,No Warranty,,,,,,
US30320,B79J082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.132.237,Microsoft Windows 7 Professional x64,CPL,,2018-12-29 23:59:59,Active,,,,,,
AUS-21838,CZYS9Z1,Dell Inc.,OptiPlex 9020,Unassigned,Dell OptiPlex 9020,10.148.132.245,Microsoft Windows 7 Professional x64,CPL,,2016-11-15 23:59:59,Expired,,,,,,
US30316,B6TK082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.132.247,Microsoft Windows 7 Professional x64,CPL,,2018-12-29 23:59:59,Active,,,,,,
US30051,CVKL082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.132.75,Microsoft Windows 7 Professional x64,CPL,,2018-12-21 23:59:59,Active,,,,,,
US30061,CVLH082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.132.76,Microsoft Windows 7 Professional x64,CPL,,2018-12-21 23:59:59,Active,,,,,,
US30063,CVPL082,Dell Inc.,OptiPlex 3020,Unassigned,Dell OptiPlex 3020 BTX Base SFF,10.148.133.11,Microsoft Windows 7 Professional x64,CPL,,2018-12-21 23:59:59,Active,,,,,,
