Asset #,Serial Number,Vendor,Desktop Model,Location,Details,IP Address,Operating System,Configuration ID,Invoice Date,Warranty Expiry Date,Warranty Expired,PO #,Invoice #,Cost Centre,Purchase Price,Purchasing Approved,Status
US30276,B6GH082,Dell Inc.,OptiPlex 3020,Unassigned,desktop,10.3.7.138,Microsoft Windows 7 Professional x64,AEL,,2018-12-29 23:59:59,Active,,,,,,
US06014,47FLL02,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.139,Microsoft Windows 7 Professional x64,AEL,,2017-08-09 23:59:59,Expired,,,,,,
ETX21845,C0Z2CZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.146,Microsoft Windows 7 Professional x64,AEL,,2017-02-18 23:59:59,Expired,,,,,,
ETX21866,256FCZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.148,Microsoft Windows 7 Professional x64,AEL,,2017-02-21 23:59:59,Expired,,,,,,
US07571,JM14B42,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.152,Microsoft Windows 7 Professional x64,AEL,,2018-03-31 23:59:59,Active,,,,,,
US01650,7Q4TD22,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.154,Microsoft Windows 7 Professional x64,AEL,,2018-03-26 23:59:59,Active,,,,,,
US07564,8N4TD22,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.155,Microsoft Windows 7 Professional x64,AEL,,2018-03-26 23:59:59,Active,,,,,,
US01648,CQ4TD22,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.156,Microsoft Windows 7 Professional x64,AEL,,2018-03-26 23:59:59,Active,,,,,,
US01651,2Q4TD22,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.157,Microsoft Windows 7 Professional x64,AEL,,2018-03-26 23:59:59,Active,,,,,,
US06009,3R76DZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.64,Microsoft Windows 7 Professional x64,AEL,,2017-01-02 23:59:59,Expired,,,,,,
US07576,4VSTG42,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.65,Microsoft Windows 7 Professional x64,AEL,,2018-06-24 23:59:59,Active,,,,,,
ETX21857,G5WBCZ1,Dell Inc.,OptiPlex 9020,Unassigned,desktop,10.3.7.66,Microsoft Windows 7 Professional x64,AEL,,2017-01-14 23:59:59,Expired,,,,,,
