NAME,,,,,,,,,,,,,,,,,,,,,,,,,,AUSTRALIAN,OURS
Acer Veriton 5100,ACER,VERITON,5100,,,,,,,,,,,,,,,,,,,,,,,SFF,"small form factor,small form,sff"
Apple eMac,EMAC,,,,,,,,,,,,,,,,,,,,,,,,,micro,micro
Apple iMac 20in 2.0Ghz 1GB/250GB/SD,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,usff,"ultra small,usff"
Apple iMac 21 2.9GHz 8GB/1TB/ATA,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,mff,"medium form factor,medium form,mff"
Apple iMac 21.5in 2.8GHz QC/8GB/1TB,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,aio,"aio,all-in-one,allinone,all in one"
Comdek/EDSys/Apple Generic,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,mini tower,"mini,mini tower"
Cybernet iOne GX31,XXXXX1234567890,,,,,,,,,,,,,,,,,,,,,,,,,aio,"aio,all-in-one,allinone,all in one"
Dell Dimension Series,DIMENSION,,,,,,,,,,,,,,,,,,,,,,,,,btx,"btx,balanced tech,balanced technology extended"
HP DC7900 CMT E8400,DC7900,CMT,E8400,,,,,,,,,,,,,,,,,,,,,,,,
HP DC7900 CMT WIN 7-XP 4GB DVDRW,DC7900,CMT,"DVD RW,DVD-RW,DVDRW","4GB,4 GB",,,,,,,,,,,,,,,,,,,,,,,
HP DC7900 SFF,DC7900,SFF,,,,,,,,,,,,,,,,,,,,,,,,,
HP DC7900 SFF E7300,DC7900,SFF,E7300,,,,,,,,,,,,,,,,,,,,,,,,
HP DC7900 SFF E8400,DC7900,SFF,E8400,,,,,,,,,,,,,,,,,,,,,,,,
HP DC7900 SFF E8400 Special Build,DC7900,SFF,E8400,SPECIAL BUILD,,,,,,,,,,,,,,,,,,,,,,,
HP DC7900 SFF E8400 WIN 7-XP 4GB DVDRW,DC7900,SFF,E8400,"DVD RW,DVD-RW,DVDRW","4GB,4 GB",,,,,,,,,,,,,,,,,,,,,,
HP DC8100 USDT,DC8100,USDT,,,,,,,,,,,,,,,,,,,,,,,,,
HP DX7200 Micro Tower,DX7200,MICRO,,,,,,,,,,,,,,,,,,,,,,,,,
HP EliteDesk 800 G1 SFF,ELITEDESK,800,G1,SFF,,,,,,,,,,,,,,,,,,,,,,,
HP EliteDesk 800 Mini HDD,ELITEDESK,800,"mini,mini tower",HDD,,,,,,,,,,,,,,,,,,,,,,,
HP EliteDesk 800 Mini SSD,ELITEDESK,800,"mini,mini tower",SSD,,,,,,,,,,,,,,,,,,,,,,,
HP EliteDesk 800 SFF,ELITEDESK,800,SSF,,,,,,,,,,,,,,,,,,,,,,,,
HP EliteDesk 8000 CMT,ELITEDESK,8000,CMT,,,,,,,,,,,,,,,,,,,,,,,,
